datetime,temperature,solar_radiation,cloud_cover
2025-09-12 00:00:00,14.0,0.0,19.0
2025-09-12 01:00:00,11.8,0.0,35.4
2025-09-12 02:00:00,16.2,0.0,34.6
2025-09-12 03:00:00,17.6,0.0,49.6
2025-09-12 04:00:00,13.0,0.0,29.1
2025-09-12 05:00:00,15.6,0.0,72.7
2025-09-12 06:00:00,19.7,28.4,48.1
2025-09-12 07:00:00,20.1,212.6,45.6
2025-09-12 08:00:00,21.7,321.1,71.3
2025-09-12 09:00:00,20.8,460.7,47.2
2025-09-12 10:00:00,24.8,548.5,53.4
2025-09-12 11:00:00,24.8,597.6,36.2
2025-09-12 12:00:00,23.2,630.3,26.9
2025-09-12 13:00:00,24.8,589.6,38.3
2025-09-12 14:00:00,22.7,604.8,80.2
2025-09-12 15:00:00,19.0,493.6,56.9
2025-09-12 16:00:00,20.2,340.5,51.5
2025-09-12 17:00:00,16.3,220.7,32.8
2025-09-12 18:00:00,18.7,42.1,61.1
2025-09-12 19:00:00,15.6,0.0,27.1
2025-09-12 20:00:00,14.3,0.0,23.9
2025-09-12 21:00:00,12.5,0.0,39.0
2025-09-12 22:00:00,15.8,0.0,76.7
2025-09-12 23:00:00,12.9,0.0,75.9
2025-09-13 00:00:00,12.3,0.0,41.0
2025-09-13 01:00:00,13.0,0.0,37.7
2025-09-13 02:00:00,15.5,0.0,23.2
2025-09-13 03:00:00,16.2,0.0,48.9
2025-09-13 04:00:00,17.5,0.0,50.2
2025-09-13 05:00:00,18.9,0.0,59.6
2025-09-13 06:00:00,23.6,69.8,61.4
2025-09-13 07:00:00,19.7,195.3,44.8
2025-09-13 08:00:00,20.5,383.6,56.1
2025-09-13 09:00:00,20.7,476.3,37.3
2025-09-13 10:00:00,24.1,601.6,55.8
2025-09-13 11:00:00,25.3,644.7,40.2
2025-09-13 12:00:00,22.6,628.2,54.7
2025-09-13 13:00:00,20.7,598.1,53.4
2025-09-13 14:00:00,19.9,572.1,48.8
2025-09-13 15:00:00,21.8,469.7,59.7
2025-09-13 16:00:00,20.8,411.0,24.2
2025-09-13 17:00:00,19.1,215.7,31.8
2025-09-13 18:00:00,15.4,21.2,43.7
2025-09-13 19:00:00,16.0,0.0,26.1
2025-09-13 20:00:00,14.7,0.0,41.7
2025-09-13 21:00:00,14.1,0.0,42.1
2025-09-13 22:00:00,14.9,0.0,67.4
2025-09-13 23:00:00,13.5,0.0,49.9
2025-09-14 00:00:00,14.3,0.0,63.6
2025-09-14 01:00:00,13.6,0.0,52.6
2025-09-14 02:00:00,14.9,0.0,40.1
2025-09-14 03:00:00,16.6,0.0,50.1
2025-09-14 04:00:00,13.6,0.0,59.1
2025-09-14 05:00:00,17.2,0.0,66.0
2025-09-14 06:00:00,18.2,14.5,46.1
2025-09-14 07:00:00,19.0,172.3,23.4
2025-09-14 08:00:00,20.8,373.1,22.3
2025-09-14 09:00:00,25.1,446.6,43.2
2025-09-14 10:00:00,20.9,586.2,13.0
