Month,Slot,Period,Days,Mean_EUR_MWh,Median_EUR_MWh,Min_EUR_MWh,Max_EUR_MWh
2026-01,1,00:00-00:15,12,121.93,122.73,101.50,146.59
2026-01,2,00:15-00:30,12,118.83,120.80,97.00,145.93
2026-01,3,00:30-00:45,12,115.75,116.29,96.64,143.14
2026-01,4,00:45-01:00,12,114.58,115.90,96.53,140.12
2026-01,5,01:00-01:15,12,116.70,116.56,100.96,139.67
2026-01,6,01:15-01:30,12,115.36,116.16,96.18,140.47
2026-01,7,01:30-01:45,12,113.66,112.88,99.09,142.58
2026-01,8,01:45-02:00,12,113.33,111.78,96.83,142.33
2026-01,9,02:00-02:15,12,114.00,113.94,96.53,139.37
2026-01,10,02:15-02:30,12,113.84,111.56,95.79,139.59
2026-01,11,02:30-02:45,12,113.09,111.94,96.92,138.65
2026-01,12,02:45-03:00,12,112.61,110.40,97.13,138.24
2026-01,13,03:00-03:15,12,112.78,111.83,95.44,140.22
2026-01,14,03:15-03:30,12,112.56,110.88,96.38,137.67
2026-01,15,03:30-03:45,12,111.85,110.69,97.11,138.98
2026-01,16,03:45-04:00,12,112.86,112.53,97.58,137.32
2026-01,17,04:00-04:15,12,115.34,113.28,95.14,153.39
2026-01,18,04:15-04:30,12,113.34,116.29,95.18,138.11
2026-01,19,04:30-04:45,12,114.12,114.66,96.59,140.11
2026-01,20,04:45-05:00,12,123.15,121.05,98.15,158.15
2026-01,21,05:00-05:15,12,114.76,117.59,93.64,143.20
2026-01,22,05:15-05:30,12,117.63,116.18,94.20,145.45
2026-01,23,05:30-05:45,12,127.08,127.16,103.49,180.58
2026-01,24,05:45-06:00,12,141.61,137.38,103.96,225.67
2026-01,25,06:00-06:15,12,120.05,119.69,98.12,154.85
2026-01,26,06:15-06:30,12,143.05,138.57,102.39,194.94
2026-01,27,06:30-06:45,12,163.81,161.32,102.37,256.14
2026-01,28,06:45-07:00,12,221.87,174.05,107.49,466.06
2026-01,29,07:00-07:15,12,156.62,153.19,103.80,215.85
2026-01,30,07:15-07:30,12,194.69,180.81,105.64,294.42
2026-01,31,07:30-07:45,12,221.28,174.18,110.13,431.70
2026-01,32,07:45-08:00,12,225.44,181.88,113.07,471.19
2026-01,33,08:00-08:15,12,217.01,175.84,115.04,408.02
2026-01,34,08:15-08:30,12,219.11,175.94,120.92,408.02
2026-01,35,08:30-08:45,12,208.02,177.18,82.49,408.65
2026-01,36,08:45-09:00,12,182.98,165.09,77.68,353.43
2026-01,37,09:00-09:15,12,209.31,178.21,81.27,392.70
2026-01,38,09:15-09:30,12,201.98,174.88,75.99,450.00
2026-01,39,09:30-09:45,12,194.25,165.70,86.59,392.70
2026-01,40,09:45-10:00,12,167.94,158.88,80.00,335.42
2026-01,41,10:00-10:15,12,196.19,169.06,80.00,398.64
2026-01,42,10:15-10:30,12,183.83,165.41,71.59,392.70
2026-01,43,10:30-10:45,12,171.06,159.69,42.50,330.01
2026-01,44,10:45-11:00,12,154.20,147.55,71.58,294.53
2026-01,45,11:00-11:15,12,164.48,160.43,71.58,337.10
2026-01,46,11:15-11:30,12,149.95,151.37,25.00,235.57
2026-01,47,11:30-11:45,12,154.04,149.82,75.99,242.15
2026-01,48,11:45-12:00,12,143.49,134.66,76.00,225.24
2026-01,49,12:00-12:15,12,155.34,148.42,80.00,252.07
2026-01,50,12:15-12:30,12,151.38,142.67,80.00,259.07
2026-01,51,12:30-12:45,12,149.81,145.81,83.76,249.55
2026-01,52,12:45-13:00,12,148.71,142.36,93.95,241.72
2026-01,53,13:00-13:15,12,155.20,142.44,83.36,300.00
2026-01,54,13:15-13:30,12,156.39,140.95,91.78,300.00
2026-01,55,13:30-13:45,12,156.29,142.13,96.26,300.00
2026-01,56,13:45-14:00,12,158.58,144.60,101.70,314.16
2026-01,57,14:00-14:15,12,155.99,136.26,105.92,303.26
2026-01,58,14:15-14:30,12,170.47,143.37,112.20,392.70
2026-01,59,14:30-14:45,12,181.15,151.20,117.91,398.64
2026-01,60,14:45-15:00,12,200.00,173.37,119.08,419.89
2026-01,61,15:00-15:15,12,168.55,144.50,83.26,404.04
2026-01,62,15:15-15:30,12,191.53,159.35,107.38,466.92
2026-01,63,15:30-15:45,12,209.57,185.78,120.92,475.00
2026-01,64,15:45-16:00,12,230.92,192.86,120.93,475.01
2026-01,65,16:00-16:15,12,171.61,153.64,87.72,299.96
2026-01,66,16:15-16:30,12,206.41,164.07,120.92,450.00
2026-01,67,16:30-16:45,12,214.90,167.47,120.93,524.76
2026-01,68,16:45-17:00,12,243.71,230.47,138.71,500.04
2026-01,69,17:00-17:15,12,207.25,151.01,120.92,466.08
2026-01,70,17:15-17:30,12,210.14,177.32,120.93,374.70
2026-01,71,17:30-17:45,12,223.27,175.82,133.07,466.92
2026-01,72,17:45-18:00,12,213.47,166.45,135.45,466.92
2026-01,73,18:00-18:15,12,217.71,172.99,141.06,462.84
2026-01,74,18:15-18:30,12,223.48,166.56,140.02,466.92
2026-01,75,18:30-18:45,12,215.98,164.81,137.97,405.87
2026-01,76,18:45-19:00,12,202.41,164.63,132.18,355.29
2026-01,77,19:00-19:15,12,215.15,167.18,131.92,416.43
2026-01,78,19:15-19:30,12,201.04,164.09,129.26,466.92
2026-01,79,19:30-19:45,12,203.30,160.77,121.24,392.70
2026-01,80,19:45-20:00,12,173.23,149.47,120.93,294.53
2026-01,81,20:00-20:15,12,220.77,190.65,134.61,466.92
2026-01,82,20:15-20:30,12,221.25,175.09,129.05,471.80
2026-01,83,20:30-20:45,12,179.64,156.77,120.93,349.98
2026-01,84,20:45-21:00,12,144.78,131.65,113.27,247.88
2026-01,85,21:00-21:15,12,182.91,158.00,120.37,392.70
2026-01,86,21:15-21:30,12,168.29,143.44,116.53,338.36
2026-01,87,21:30-21:45,12,140.19,133.59,111.85,210.05
2026-01,88,21:45-22:00,12,126.85,119.83,101.77,181.99
2026-01,89,22:00-22:15,12,143.06,140.18,119.05,196.35
2026-01,90,22:15-22:30,12,136.04,138.75,98.12,191.23
2026-01,91,22:30-22:45,12,128.49,127.31,98.12,167.41
2026-01,92,22:45-23:00,12,119.94,117.07,98.92,145.94
2026-01,93,23:00-23:15,12,129.64,130.50,108.30,161.60
2026-01,94,23:15-23:30,12,123.17,122.12,101.73,151.55
2026-01,95,23:30-23:45,12,117.21,115.19,102.74,142.00
2026-01,96,23:45-00:00,12,110.69,109.53,96.83,135.48
2026-02,1,00:00-00:15,28,86.82,93.69,0.02,116.30
2026-02,2,00:15-00:30,28,79.84,92.44,0.50,110.17
2026-02,3,00:30-00:45,28,80.58,92.06,2.60,111.35
2026-02,4,00:45-01:00,28,80.20,91.10,2.66,112.37
2026-02,5,01:00-01:15,28,83.91,91.91,2.69,110.12
2026-02,6,01:15-01:30,28,80.62,92.19,0.02,111.27
2026-02,7,01:30-01:45,28,80.10,91.50,5.11,108.16
2026-02,8,01:45-02:00,28,81.15,91.06,0.02,109.80
